,Survived,Pclass,Sex,Age,Fare
0,0,3,1,22.0,7.25
1,1,1,0,38.0,71.2833
2,1,3,0,26.0,7.925
3,1,1,0,35.0,53.1
4,0,3,1,35.0,8.05
5,0,3,1,24.0,8.4583
6,0,1,1,54.0,51.8625
7,0,3,1,2.0,21.075
8,1,3,0,27.0,11.1333
9,1,2,0,14.0,30.0708
10,1,3,0,4.0,16.7
11,1,1,0,58.0,26.55
12,0,3,1,20.0,8.05
13,0,3,1,39.0,31.275
14,0,3,0,14.0,7.8542
15,1,2,0,55.0,16.0
16,0,3,1,2.0,29.125
17,1,2,1,29.0,13.0
18,0,3,0,31.0,18.0
19,1,3,0,24.0,7.225
20,0,2,1,35.0,26.0
21,1,2,1,34.0,13.0
22,1,3,0,15.0,8.0292
23,1,1,1,28.0,35.5
24,0,3,0,8.0,21.075
25,1,3,0,38.0,31.3875
26,0,3,1,24.0,7.225
27,0,1,1,19.0,263.0
28,1,3,0,24.0,7.8792
29,0,3,1,24.0,7.8958
30,0,1,1,40.0,27.7208
31,1,1,0,37.0,146.5208
32,1,3,0,24.0,7.75
33,0,2,1,66.0,10.5
34,0,1,1,28.0,82.1708
35,0,1,1,42.0,52.0
36,1,3,1,24.0,7.2292
37,0,3,1,21.0,8.05
38,0,3,0,18.0,18.0
39,1,3,0,14.0,11.2417
40,0,3,0,40.0,9.475
41,0,2,0,27.0,21.0
42,0,3,1,24.0,7.8958
43,1,2,0,3.0,41.5792
44,1,3,0,19.0,7.8792
45,0,3,1,24.0,8.05
46,0,3,1,24.0,15.5
47,1,3,0,24.0,7.75
48,0,3,1,24.0,21.6792
49,0,3,0,18.0,17.8
50,0,3,1,7.0,39.6875
51,0,3,1,21.0,7.8
52,1,1,0,49.0,76.7292
53,1,2,0,29.0,26.0
54,0,1,1,65.0,61.9792
55,1,1,1,37.0,35.5
56,1,2,0,21.0,10.5
57,0,3,1,28.5,7.2292
58,1,2,0,5.0,27.75
59,0,3,1,11.0,46.9
60,0,3,1,22.0,7.2292
61,1,1,0,38.0,80.0
62,0,1,1,45.0,83.475
63,0,3,1,4.0,27.9
64,0,1,1,37.0,27.7208
65,1,3,1,24.0,15.2458
66,1,2,0,29.0,10.5
67,0,3,1,19.0,8.1583
68,1,3,0,17.0,7.925
69,0,3,1,26.0,8.6625
70,0,2,1,32.0,10.5
71,0,3,0,16.0,46.9
72,0,2,1,21.0,73.5
73,0,3,1,26.0,14.4542
74,1,3,1,32.0,56.4958
75,0,3,1,25.0,7.65
76,0,3,1,24.0,7.8958
