Department  ,Division,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
City Council,City Council,Member Of Council,Elected Official,07/01/2014,07/01/2014,Exempt,25000.08
City Council,City Council,Member Of Council,Elected Official,07/01/2016,07/01/2016,Exempt,25000.00
City Council,City Council,Member Of Council,Elected Official,06/21/1999,08/31/2016,Exempt,25000.00
City Council,City Council,President Of Council,Elected Official,07/01/2016,07/01/2016,Exempt,27000.00
City Council,City Council,Member Of Council,Elected Official,01/01/2023,01/01/2023,Exempt,25000.00
City Council,City Council,Member Of Council,Elected Official,01/14/2021,01/14/2021,Exempt,25000.00
City Council,City Council,Member Of Council,Elected Official,07/24/1998,07/01/2010,Exempt,25000.00
City Council,City Council,Member Of Council,Elected Official,07/01/2018,07/01/2018,Exempt,25000.00
City Manager,Executive City Manager,City Manager,Appointed by City Council,07/26/2021,06/28/2023,Exempt,295130.00
City Manager,Executive City Manager,"Asst to the Cty Manager, Sr",Permanent Full-time,08/04/1998,05/04/2015,Exempt,120751.00
City Manager,City Manager-NCJS Adlt Com Sup,Administrative Technician,Special Project w/ Retirement,11/27/2006,07/01/2008,Nonexempt,19.28
City Manager,Executive City Manager,Deputy City Manager,Permanent Full-time,09/07/2021,09/07/2021,Exempt,236250.00
City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,10/07/1999,07/01/2008,Nonexempt,30.52
City Manager,Executive City Manager,Intergovernmental Relations Of,Permanent Full-time,06/01/2015,03/06/2017,Exempt,115762.50
City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,01/31/2005,07/23/2008,Nonexempt,27.65
City Manager,City Manager - Norfolk Arts,Arts Manager,Permanent Full-time,03/05/2012,03/05/2012,Exempt,78499.92
City Manager,Executive City Manager,Executive Administrator (CM),Permanent Full-time,01/25/2010,05/04/2024,Exempt,57385.00
City Manager,Executive City Manager,Executive Specialist,Retiree Part-time,07/24/1978,10/05/2020,Nonexempt,68.13
City Manager,City Manager-NCJS Pretrial,Program Supervisor,Special Project w/ Retirement,02/12/2001,02/18/2015,Exempt,70474.07
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer II,Special Project w/ Retirement,04/10/2021,01/16/2024,Nonexempt,21.64
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer I,Special Project w/ Retirement,04/08/2024,04/08/2024,Nonexempt,20.76
City Manager,Executive City Manager,Deputy City Manager,Permanent Full-time,06/12/2017,11/06/2023,Exempt,236250.00
City Manager,City Manager - Norfolk Arts,Multimedia Comm Specialist II,Permanent Full-time,07/10/1989,11/23/2010,Exempt,55392.73
City Manager,Executive City Manager,Special Assistant,Permanent Full-time,01/03/2023,12/31/2022,Exempt,89250.00
City Manager,Executive City Manager,Deputy City Manager,Permanent Full-time,11/06/2017,10/23/2023,Exempt,236250.00
City Manager,Executive City Manager,Deputy City Manager,Permanent Full-time,09/11/2017,09/11/2017,Exempt,236250.00
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer I,Special Project w/ Retirement,04/20/2024,04/20/2024,Nonexempt,20.18
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer I,Special Project w/ Retirement,05/04/2024,05/04/2024,Nonexempt,20.18
City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Special Project w/ Retirement,01/22/2014,01/22/2014,Nonexempt,24.42
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer II,Special Project w/ Retirement,05/08/2021,05/08/2021,Nonexempt,24.46
City Manager,City Manager-NCJS Adlt Com Sup,Programs Manager,Special Project w/ Retirement,11/21/1994,07/01/2007,Exempt,94180.13
City Manager,Executive City Manager,"Executive Administrator,Sr(CM)",Permanent Full-time,01/09/2006,04/11/2022,Exempt,88200.00
City Manager,City Manager - Norfolk Arts,Bureau Manager,Permanent Full-time,01/03/2006,01/03/2006,Exempt,108316.12
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer II,Special Project w/ Retirement,04/06/2024,04/06/2024,Nonexempt,21.64
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer II,Special Project w/ Retirement,08/24/1999,08/24/1999,Nonexempt,30.52
City Manager,Executive City Manager,Executive Specialist,Retiree Part-time,09/22/2003,06/03/2023,Nonexempt,73.50
City Manager,Executive City Manager,Deputy City Manager,Permanent Full-time,06/18/2007,07/03/2021,Exempt,236250.00
City Manager,Executive City Manager,Severance Pay,Severance Payee,09/16/2019,06/28/2023,Nonexempt,281077.52
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer II,Special Project w/ Retirement,12/04/2017,12/04/2017,Nonexempt,24.80
City Manager,City Manager-NCJS Pretrial,Pre-Trial Probation Officer II,Special Project w/ Retirement,08/01/1991,07/01/2007,Nonexempt,29.05
City Attorney,Law,City Attorney,Permanent Full-time,10/08/1984,11/18/1997,Exempt,251026.07
City Attorney,Law,Deputy City Attorney I-LD,Permanent Full-time,08/01/2014,08/01/2014,Exempt,166354.00
City Attorney,Law,Assistant City Attorney I-LD,Permanent Full-time,09/13/2010,07/15/2023,Exempt,94500.00
City Attorney,Law,Legal Coordinator II-LD,Permanent Full-time,04/02/1990,05/15/1996,Nonexempt,89010.00
City Attorney,Law,Legal Secretary II-LD,Permanent Full-time,10/24/2020,10/24/2020,Nonexempt,55354.00
City Attorney,Law,Assistant City Attorney II-LD,Permanent Full-time,04/15/2013,04/15/2013,Exempt,126644.00
City Attorney,Law,Deputy City Attorney II-LD,Permanent Full-time,10/03/1989,05/15/1996,Exempt,179211.00
City Attorney,Law,Legal Secretary II-LD,Permanent Full-time,02/19/2002,02/19/2002,Nonexempt,61169.85
City Attorney,Law,Deputy City Attorney II-LD,Permanent Full-time,06/01/1999,06/29/2001,Exempt,148516.00
City Attorney,Law,Legal Secretary II-LD,Permanent Full-time,08/03/2015,08/03/2015,Nonexempt,73473.00
City Attorney,Law,Legal Secretary II-LD,Permanent Full-time,10/15/2018,10/15/2018,Nonexempt,60271.00
City Attorney,Law,Paralegal Specialist I-LD,Permanent Full-time,10/03/2007,11/09/2019,Nonexempt,77660.00
City Attorney,Law,Business Manager-LD,Permanent Full-time,01/14/1974,05/15/1996,Exempt,90416.38
City Attorney,Law,Legal Coordinator I-LD,Permanent Full-time,07/13/2015,06/04/2018,Nonexempt,69031.00
City Attorney,Law,Deputy City Attorney I-LD,Permanent Full-time,06/01/1998,05/08/2001,Exempt,132753.00
City Attorney,Law,Chief Deputy City Attorney-LD,Permanent Full-time,01/28/2002,07/01/2016,Exempt,246545.00
City Attorney,Law,Chief Deputy City Attorney-LD,Permanent Full-time,08/26/2013,07/01/2016,Exempt,246545.00
City Attorney,Law,Legal Secretary II-LD,Permanent Full-time,01/28/2014,05/11/2015,Nonexempt,62753.25
City Attorney,Law,Support Technician-LD,Permanent Full-time,01/22/2019,08/16/2021,Nonexempt,43412.00
City Attorney,Law,Legal Secretary II-LD,Permanent Full-time,10/22/2022,10/22/2022,Nonexempt,50250.00
City Attorney,Law,Assistant City Attorney I-LD,Appointed by City Council,08/03/2020,12/03/2022,Exempt,101250.00
City Attorney,Law,Paralegal Specialist II-LD,Permanent Full-time,11/05/2022,11/05/2022,Nonexempt,60385.00
City Attorney,Law,Assistant City Attorney II-LD,Permanent Full-time,06/27/2014,08/17/2019,Exempt,119944.00
City Attorney,Law,Chief Deputy City Attorney-LD,Permanent Full-time,09/16/2013,09/16/2013,Exempt,245700.00
City Attorney,Law,Legal Administrator-LD,Permanent Full-time,10/19/1992,02/07/1997,Exempt,106957.00
City Attorney,Law,Assistant City Attorney III-LD,Permanent Full-time,09/03/2019,09/03/2019,Exempt,132994.00
City Attorney,Law,Deputy City Attorney I-LD,Permanent Full-time,01/29/2001,01/29/2001,Exempt,148111.00
City Attorney,Law,Assistant City Attorney I-LD,Permanent Full-time,05/20/2023,05/20/2023,Exempt,94500.00
City Attorney,Law,Support Technician-LD,Permanent Full-time,11/20/2017,09/07/2021,Nonexempt,44412.00
City Attorney,Law,Deputy City Attorney I-LD,Permanent Full-time,08/20/2007,08/20/2007,Exempt,136154.00
City Attorney,Law,Assistant City Attorney III-LD,Permanent Full-time,08/01/2014,01/22/2019,Exempt,140718.00
City Attorney,Law,Deputy City Attorney I-LD,Permanent Full-time,07/01/2015,07/01/2015,Exempt,156291.00
City Attorney,Law,Assistant City Attorney III-LD,Permanent Full-time,01/16/2024,01/16/2024,Exempt,130000.00
City Attorney,Law,Deputy City Attorney I-LD,Permanent Full-time,02/06/2006,01/01/2019,Exempt,163875.00
City Attorney,Law,Assistant City Attorney III-LD,Permanent Full-time,10/26/2019,10/26/2019,Exempt,140269.00
City Attorney,Law,Assistant City Attorney III-LD,Permanent Full-time,02/09/2015,09/23/2023,Exempt,130000.00
Finance,Finance City Controller,Collection Coord,Permanent Full-time,05/10/2023,05/10/2023,Exempt,57750.00
Finance,Finance City Controller,Sr Accountant II (Fin only),Permanent Full-time,11/29/2004,06/26/2017,Exempt,57623.32
Finance,Finance City Controller,Payroll Administrator (Fin Onl,Permanent Full-time,10/18/2021,05/18/2024,Exempt,70000.00
Finance,Finance City Controller,Sr Accountant V (Fin only),Permanent Full-time,08/07/2017,09/14/2020,Exempt,96523.88
Finance,Finance City Controller,Payroll Manager,Permanent Full-time,06/23/2015,10/15/2022,Exempt,100800.00
Finance,Finance City Controller,Sr Accountant III (Fin only),Permanent Full-time,06/15/2024,06/15/2024,Exempt,69000.00
Finance,Finance Purchasing,Procurement Spslt II (Fin Only,Permanent Full-time,10/11/2021,10/11/2021,Exempt,60858.00
Finance,Finance City Controller,Payroll Specialist (Fin Only),Permanent Full-time,01/03/2023,01/03/2023,Exempt,51765.53
Finance,Finance City Controller,Management Analyst III,Permanent Full-time,07/31/2017,03/28/2022,Exempt,70405.65
Finance,Finance Purchasing,Chief Procurement Officer,Permanent Full-time,04/30/2018,04/30/2018,Exempt,147681.53
Finance,Finance Purchasing,Procurement Spslt II (Fin Only,Permanent Full-time,09/02/2003,02/25/2023,Exempt,67062.78
Finance,Finance City Controller,Payroll Specialist (Fin Only),Permanent Full-time,11/04/2023,11/04/2023,Exempt,51764.95
Finance,Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,02/25/2023,02/25/2023,Exempt,79380.00
Finance,Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,06/20/2023,03/23/2024,Exempt,79380.00
Finance,Finance - Director's Office,Assistant Director,Permanent Full-time,10/26/2009,06/20/2016,Exempt,147681.53
Finance,Finance City Controller,Sr Accounting Mgr (Finance),Permanent Full-time,10/12/2019,01/17/2023,Exempt,121800.00
Finance,Finance Purchasing,Procurement Spslt III (Fin Onl,Permanent Full-time,08/03/2019,08/03/2019,Exempt,76072.50
Finance,Finance Purchasing,Administrative Assistant II,Permanent Full-time,09/12/1983,04/16/2015,Nonexempt,54820.97
Finance,Finance City Controller,Sr Accountant V (Fin only),Permanent Full-time,04/02/2018,11/04/2023,Exempt,96500.00
Finance,Finance Retirement Bureau,Exec Mgr of Retirement Systems,Permanent Full-time,06/25/2012,01/22/2019,Exempt,127338.75
Finance,Finance City Controller,Payroll Administrator (Fin Onl,Permanent Full-time,05/29/2018,10/24/2022,Exempt,75600.00
Finance,Finance City Controller,Accounts Receivable Manager,Permanent Full-time,03/17/2014,03/17/2014,Exempt,97969.06
Finance,Finance Purchasing,Procurement Spslt I (Fin Only),Casual Part-time,04/20/2024,04/20/2024,Exempt,22.00
Finance,Finance City Controller,Accounts Payable Manager,Permanent Full-time,06/15/2009,02/02/2015,Exempt,111352.50
Finance,Finance City Controller,Sr Accountant II (Fin only),Permanent Full-time,04/27/2015,12/12/2016,Exempt,58775.85
Finance,Finance Retirement Bureau,Sr Accountant IV (Fin only),Permanent Full-time,06/15/2024,06/15/2024,Exempt,79380.00
Finance,Finance Purchasing,Procurement Spslt II (Fin Only,Permanent Full-time,01/22/2019,01/22/2019,Exempt,60230.90
Finance,Finance City Controller,Sr Accountant II (Fin only),Permanent Full-time,12/20/2021,12/20/2021,Exempt,55392.73
Finance,Finance Retirement Bureau,Retirement Benefits Admin,Permanent Full-time,06/08/2015,03/30/2019,Exempt,98122.50
Finance,Finance City Controller,Sr Accountant IV (Fin only),Special Project w/ Retirement,05/18/2024,05/18/2024,Exempt,79380.00
Finance,Finance City Controller,Sr Accountant IV (Fin only),Permanent Full-time,03/14/2020,07/16/2022,Exempt,79380.00
Finance,Finance Purchasing,Procurement Spslt III (Fin Onl,Permanent Full-time,01/17/2023,01/17/2023,Exempt,71400.00
Finance,Finance Retirement Bureau,Retirement Benefits Spec II,Permanent Full-time,01/03/2022,01/03/2022,Exempt,56500.53
