RANK,COMPANY,EXECUTIVE NAME,NET WORTH,COUNTRY
RANK,COMPANY,EXECUTIVE NAME,NET WORTH,COUNTRY
1,"Tesla, SpaceX",Elon Musk,$212.3 B,United States
2,Amazon,Jeff Bezos,$203.5 B,United States
3,LVMH,Bernard Arnault & family,$194.3 B,France
4,Facebook,Mark Zuckerberg,$175.9 B,United States
5,Oracle,Larry Ellison,$174.1 B,United States
6,Google,Larry Page,$145.8 B,United States
7,Google,Sergey Brin,$139.6 B,United States
8,Berkshire Hathaway,Warren Buffett,$134.8 B,United States
9,Microsoft,Bill Gates,$133.5 B,United States
10,Microsoft,Steve Ballmer,$130.4 B,United States
11,Zara,Amancio Ortega,$114.8 B,Spain
12,Diversified,Mukesh Ambani,$114.8 B,India
13,Semiconductors,Jensen Huang,$114.5 B,United States
14,Dell Technologies,Michael Dell,$111.9 B,United States
15,Bloomberg LP,Michael Bloomberg,$106.2 B,United States
16,L'Oréal,Francoise Bettencourt Meyers & family,$96.3 B,France
17,Telecom,Carlos Slim Helu & family,$92.0 B,Mexico
18,"Infrastructure, commodities",Gautam Adani,$86.2 B,India
19,Walmart,Jim Walton & family,$85.9 B,United States
20,Walmart,Rob Walton & family,$84.7 B,United States
21,Walmart,Alice Walton,$79.7 B,United States
22,Media,David Thomson & family,$70.9 B,Canada
23,Koch Industries,Julia Koch & family,$65.7 B,United States
24,"Petrochemicals, energy",Prajogo Pangestu,$60.4 B,Indonesia
25,Cryptocurrency exchange,Changpeng Zhao,$60.2 B,Canada
26,"Beverages, pharmaceuticals",Zhong Shanshan,$60.0 B,China
27,Koch Industries,Charles Koch & family,$59.8 B,United States
28,E-commerce,Colin Huang,$50.8 B,China
29,TikTok,Zhang Yiming,$43.4 B,China
30,"Nutella, chocolates",Giovanni Ferrero,$43.0 B,Italy
31,Shipping,Klaus-Michael Kuehne,$41.8 B,Germany
32,Online games,Ma Huateng,$40.8 B,China
33,Steel,Savitri Jindal & family,$40.7 B,India
34,Nike,Phil Knight & family,$39.8 B,United States
35,Red Bull,Mark Mateschitz,$38.8 B,Austria
36,Investments,Stephen Schwarzman,$38.6 B,United States
37,Chanel,Alain Wertheimer,$38.6 B,France
37,Chanel,Gerard Wertheimer,$38.6 B,France
39,"Candy, pet food",John Mars,$37.8 B,United States
39,"Candy, pet food",Jacqueline Mars,$37.8 B,United States
41,Discount brokerage,Thomas Peterffy,$37.4 B,United States
42,Hedge funds,Ken Griffin,$37.2 B,United States
43,Fashion retail,Tadashi Yanai & family,$37.1 B,Japan
44,Retail,Dieter Schwarz,$35.9 B,Germany
45,Shipping,Gianluigi Aponte,$35.5 B,Switzerland
45,Shipping,Rafaela Aponte-Diamant,$35.5 B,Switzerland
47,Diversified,Li Ka-shing,$35.4 B,Hong Kong
48,Amazon,MacKenzie Scott,$34.7 B,United States
49,Fasteners,Reinhold Wuerth & family,$33.6 B,Germany
50,Software services,Shiv Nadar,$33.1 B,India
51,"Telecom, Investments",Masayoshi Son,$32.7 B,Japan
52,Walmart,Lukas Walton,$30.8 B,United States
53,Mining,Gina Rinehart,$30.8 B,Australia
54,"Music, chemicals",Len Blavatnik,$30.2 B,United States
55,Casinos,Miriam Adelson & family,$29.6 B,United States
56,Fidelity Investments,Abigail Johnson,$29.5 B,United States
57,Mining,Germán Larrea Mota Velasco & family,$29.5 B,Mexico
58,Online games,William Ding,$29.3 B,China
59,Oil,Vagit Alekperov,$28.6 B,Russia
60,Mining,Iris Fontbona & family,$28.6 B,Chile
61,Quicken Loans,Daniel Gilbert,$27.9 B,United States
62,"Infrastructure, commodities",Vinod Adani,$27.9 B,Cyprus
63,Facebook,Eduardo Saverin,$27.7 B,Brazil
64,"Trading, investments",Jeff Yass,$27.6 B,United States
65,"Gas, chemicals",Leonid Mikhelson & family,$27.4 B,Russia
66,Real estate,Lee Shau Kee,$27.2 B,Hong Kong
67,Hospitals,Thomas Frist Jr & family,$27.1 B,United States
68,Financial software,Andrea Pignataro,$27.0 B,Italy
69,"Steel, transport",Vladimir Lisin,$26.6 B,Russia
70,Batteries,Robin Zeng,$26.5 B,Hong Kong
71,Luxury goods,François Pinault & family,$25.5 B,France
72,"Steel, investments",Alexey Mordashov & family,$25.5 B,Russia
73,Google,Eric Schmidt,$25.1 B,United States
74,Koch Industries,Elaine Marshall & family,$25.0 B,United States
75,"Real estate, shipping",Eyal Ofer,$24.7 B,Israel
76,E-commerce,Jack Ma,$24.6 B,China
77,Cheese,Emmanuel Besnier,$24.5 B,France
78,Pharmaceuticals,Dilip Shanghvi,$24.5 B,India
79,Oil,Autry Stephens,$24.3 B,United States
80,Home appliances,He Xiangjian & family,$24.1 B,China
81,Metals,Vladimir Potanin,$23.7 B,Russia
82,BMW,Stefan Quandt,$23.6 B,Germany
83,"Banking, tobacco",R. Budi Hartono,$23.6 B,Indonesia
84,"BMW, pharmaceuticals",Susanne Klatten,$23.5 B,Germany
85,"Oil, gas",Gennady Timchenko,$23.4 B,Russia
86,Home improvement stores,John Menard Jr,$23.3 B,United States
87,Commodities,Kumar Birla,$23.0 B,India
88,Coal,Low Tuck Kwong,$22.9 B,Indonesia
89,"Banking, tobacco",Michael Hartono,$22.7 B,Indonesia
90,Vaccines,Cyrus Poonawalla,$21.8 B,India
91,"Retail, investments",Radhakishan Damani,$21.6 B,India
92,Building supplies,Diane Hendricks,$20.9 B,United States
93,Sensors,Takemitsu Takizaki,$20.8 B,Japan
94,Hedge funds,David Tepper,$20.6 B,United States
95,Hedge funds,Steve Cohen,$19.8 B,United States
96,"Newspapers, TV network",Rupert Murdoch & family,$19.7 B,United States
97,H&M,Stefan Persson,$19.6 B,Sweden
98,Real estate,Kushal Pal Singh,$19.4 B,India
99,Shipping,Idan Ofer,$19.1 B,Israel
100,Banking,Vicky Safra & family,$19.1 B,Brazil
101,"Fertilizers, coal",Andrey Melnichenko & family,$18.7 B,Russia
102,"Batteries, automobiles",Wang Chuanfu,$18.6 B,China
103,Oil & gas,Harold Hamm & family,$18.5 B,United States
104,Google,Andreas von Bechtolsheim & family,$18.2 B,Germany
105,"Soft drinks, fast food",Ravi Jaipuria,$18.1 B,India
106,Real estate,Donald Bren,$18.0 B,United States
107,Hedge funds,Michael Platt,$18.0 B,United Kingdom
108,Semiconductors,Henry Samueli,$17.9 B,United States
109,"Finance, telecommunications",Renata Kellnerova & family,$17.7 B,Czech Republic
110,Pig breeding,Qin Yinglin,$17.5 B,China
111,Facebook,Dustin Moskovitz,$17.3 B,United States
112,Shipping,John Fredriksen,$16.9 B,Cyprus
113,Real estate,Harry Triguboff,$16.5 B,Australia
114,Mining,Andrew Forrest & family,$16.5 B,Australia
